text,label
Procedura legale [SEP] È stato notificato un atto di citazione per violazione di marchio.,Legale
Clausola contrattuale dubbia [SEP] È necessario verificare la clausola di manleva in un contratto quadro.,Legale
Procedura legale [SEP] Un cliente ha sollevato dubbi sulle responsabilità definite nel contratto.,Legale
Consulenza legale urgente [SEP] Si prospetta un arbitrato internazionale con un fornitore estero.,Legale
Clausola contrattuale dubbia [SEP] Dobbiamo analizzare un NDA prima della sottoscrizione ufficiale.,Legale
Consulenza legale urgente [SEP] Occorre avviare un'azione legale per violazione degli obblighi contrattuali.,Legale
Clausola contrattuale dubbia [SEP] È emersa una possibile infrazione nel campo della proprietà intellettuale.,Legale
Clausola contrattuale dubbia [SEP] Dobbiamo redigere un verbale per una conciliazione sindacale programmata.,Legale
Clausola contrattuale dubbia [SEP] È arrivata una richiesta di mediazione obbligatoria.,Legale
Clausola contrattuale dubbia [SEP] Dobbiamo avviare una procedura legale per inadempienza.,Legale
Consulenza legale urgente [SEP] È stata inviata una diffida per l’uso scorretto di un marchio registrato.,Legale
Procedura legale [SEP] La clausola di forza maggiore necessita un aggiornamento per riflettere la normativa attuale.,Legale
Procedura legale [SEP] Dobbiamo rispondere a una lettera di messa in mora.,Legale
Consulenza legale urgente [SEP] Dobbiamo redigere un verbale per una conciliazione sindacale programmata.,Legale
Procedura legale [SEP] È urgente redigere una lettera formale di diffida per insolvenza da parte del cliente.,Legale
Procedura legale [SEP] Abbiamo ricevuto una notifica formale per possibile concorrenza sleale.,Legale
Procedura legale [SEP] Richiesta assistenza per registrare un marchio presso l’Ufficio Brevetti.,Legale
Procedura legale [SEP] Il cliente chiede accesso ai documenti legali del contratto.,Legale
Consulenza legale urgente [SEP] È stata inviata una diffida per l’uso scorretto di un marchio registrato.,Legale
Clausola contrattuale dubbia [SEP] È necessaria la revisione di una clausola contrattuale.,Legale
Consulenza legale urgente [SEP] Si sta valutando una procedura arbitrale internazionale con un partner estero.,Legale
Clausola contrattuale dubbia [SEP] È stata segnalata una possibile violazione di proprietà intellettuale.,Legale
Clausola contrattuale dubbia [SEP] Occorre valutare la risoluzione anticipata di un contratto di appalto.,Legale
Procedura legale [SEP] È in scadenza il termine per impugnare una delibera assembleare.,Legale
Clausola contrattuale dubbia [SEP] Il cliente chiede accesso ai documenti legali del contratto.,Legale
Procedura legale [SEP] Un soggetto terzo ha richiesto formalmente l’avvio della mediazione obbligatoria.,Legale
Clausola contrattuale dubbia [SEP] È arrivata una richiesta di mediazione obbligatoria.,Legale
Procedura legale [SEP] Stiamo considerando la cessazione anticipata di un contratto d’appalto per giusta causa.,Legale
Clausola contrattuale dubbia [SEP] È richiesta verifica su clausola di penale contrattuale.,Legale
Consulenza legale urgente [SEP] Dobbiamo redigere un verbale per una conciliazione sindacale programmata.,Legale
Consulenza legale urgente [SEP] Richiesta assistenza per registrare un marchio presso l’Ufficio Brevetti.,Legale
Consulenza legale urgente [SEP] Si prospetta un arbitrato internazionale con un fornitore estero.,Legale
Clausola contrattuale dubbia [SEP] Si richiede verifica di una clausola penale inclusa nel contratto.,Legale
Consulenza legale urgente [SEP] Scade a breve il termine utile per presentare ricorso contro una delibera assembleare.,Legale
Consulenza legale urgente [SEP] Un parere è richiesto su una clausola di esclusiva commerciale.,Legale
Procedura legale [SEP] I contratti in uso vanno aggiornati per allinearli alla normativa antitrust.,Legale
Clausola contrattuale dubbia [SEP] È necessario rivedere una clausola del contratto che desta dubbi.,Legale
Consulenza legale urgente [SEP] È arrivata una richiesta di mediazione obbligatoria.,Legale
